probe_id,judge,equivalent,confidence,failures,reason,probe_subtype,tier,dataset,generator_model,base_text_preview,probe_text_preview
INV_LEX_TSAR_08-a2,claude-haiku,False,high,['CONTENT'],"The word 'don't arise' changes the meaning from events not occurring to events not coming into being, which is semantically distinct from 'don't happen' in the original context about dreams and real-world events.",lexical,1,TSAR2025,rule_based,"Dreams of a phone call from an old friend or the death of someone close, for example, are more likely to be the result of coincidence than prophecy. And, of course, we probably choose to forget all th","Dreams of a phone call from an old friend or the death of someone close, for example, are more likely to be the outcome of coincidence than prophecy. And, of course, we probably choose to forget all t"
INV_LEX_TSAR_08-b1,claude-haiku,True,high,[],"Both texts maintain identical meaning: 'result' and 'outcome' are synonymous, 'happen' and 'transpire' are synonymous, and all agents, actions, modals, negations, conditions, and content remain unchanged.",lexical,1,TSAR2025,rule_based,"Dreams of a phone call from an old friend or the death of someone close, for example, are more likely to be the result of coincidence than prophecy. And, of course, we probably choose to forget all th","Dreams of a phone call from an old friend or the death of someone close, for example, are more likely to be the outcome of coincidence than prophecy. And, of course, we probably choose to forget all t"
INV_LEX_TSAR_09-a2,claude-haiku,True,high,[],"The only change is 'happen' to 'arise', which are semantically equivalent synonyms in this context; all agents, actions, modals, negation, conditions, and content remain identical.",lexical,1,TSAR2025,rule_based,"Some bridge collapses are mysteries, and engineers only realise why after they conduct a complete investigation. In some cases, this could happen because inferior-quality material was used in the cons","Some bridge collapses are mysteries, and engineers only realise why after they conduct a complete investigation. In some cases, this could arise because inferior-quality material was used in the const"
INV_LEX_TSAR_09-b1,claude-haiku,True,high,[],"The only change is 'happen' to 'transpire', which are semantic synonyms with identical meaning in context; all agents, actions, modals, negation, conditions, and content remain unchanged.",lexical,1,TSAR2025,rule_based,"Some bridge collapses are mysteries, and engineers only realise why after they conduct a complete investigation. In some cases, this could happen because inferior-quality material was used in the cons","Some bridge collapses are mysteries, and engineers only realise why after they conduct a complete investigation. In some cases, this could transpire because inferior-quality material was used in the c"
INV_LEX_TSAR_10-a2,claude-haiku,False,high,"['CONTENT', 'AGENTS']","Key semantic differences: 'start school' vs 'launch school' (launch is incorrect), 'work' vs 'function' (different meanings), and text is truncated mid-sentence affecting completeness.",lexical,1,TSAR2025,rule_based,"I used to do a typical five-day week, but after I came out of my parental leave, I decided that I wanted to spend more time with my children before they start school. After negotiating with my boss, w","I used to do a typical five-day week, but after I came out of my parental leave, I decided that I wanted to spend more time with my children before they launch school. After negotiating with my boss, "
INV_LEX_TSAR_10-b1,claude-haiku,False,high,['CONTENT'],"The word 'work' is changed to 'operate' which alters the meaning, and both texts are incomplete with truncated endings making full comparison impossible.",lexical,1,TSAR2025,rule_based,"I used to do a typical five-day week, but after I came out of my parental leave, I decided that I wanted to spend more time with my children before they start school. After negotiating with my boss, w","I used to do a typical five-day week, but after I came out of my parental leave, I decided that I wanted to spend more time with my children before they begin school. After negotiating with my boss, w"
INV_LEX_TSAR_11-a2,claude-haiku,False,high,"['CONTENT', 'ACTIONS']","The transformed text contains a grammatical error ('can consequence in' instead of 'can result in') and is incomplete (ends with 'i' instead of 'in'), making it not semantically equivalent to the original.",lexical,1,TSAR2025,rule_based,"Much of today's business is conducted across international borders, and while the majority of the global business community might share the use of English as a common language, the nuances and expecta","Much of today's business is conducted across international borders, and while the majority of the global business community might share the use of English as a common language, the nuances and expecta"
INV_LEX_TSAR_11-b1,claude-haiku,False,high,"['CONTENT', 'ACTIONS']","The transformation replaces 'common language' with 'widespread language' (synonymous but stylistically different), changes 'result in' to 'consequence in' (grammatically incorrect and semantically altered), and truncates the final word 'differences' to 'differenc' (incomplete content loss).",lexical,1,TSAR2025,rule_based,"Much of today's business is conducted across international borders, and while the majority of the global business community might share the use of English as a common language, the nuances and expecta","Much of today's business is conducted across international borders, and while the majority of the global business community might share the use of English as a widespread language, the nuances and exp"
INV_LEX_TSAR_12-a2,claude-haiku,False,high,['ACTIONS'],"The verb 'start' was replaced with 'launch' in two locations, fundamentally altering the meaning: 'start to see evidence' is idiomatic and means 'begin to observe,' while 'launch to see' is semantically incorrect and ungrammatical; similarly, 'start producing language' differs from 'launch producing language' in both correctness and meaning.",lexical,1,TSAR2025,rule_based,"Between 100,000 and 50,000 years ago, though, we start to see the evidence of early human civilisation, through cave paintings for example; no one knows the connection between this and language. Brain","Between 100,000 and 50,000 years ago, though, we launch to see the evidence of early human civilisation, through cave paintings for example; no one knows the connection between this and language. Brai"
INV_LEX_TSAR_12-b1,claude-haiku,True,high,[],"Both texts present identical content, agents, actions, and conditions; 'start to see' and 'commence to see' are semantically equivalent, as are 'start producing' and 'commence producing'.",lexical,1,TSAR2025,rule_based,"Between 100,000 and 50,000 years ago, though, we start to see the evidence of early human civilisation, through cave paintings for example; no one knows the connection between this and language. Brain","Between 100,000 and 50,000 years ago, though, we commence to see the evidence of early human civilisation, through cave paintings for example; no one knows the connection between this and language. Br"
INV_LEX_TSAR_14-a2,claude-haiku,False,high,['CONTENT'],"The transformed text changes 'girls' to 'girl' at the end, altering the intended meaning from empowering multiple girls to a single girl.",lexical,1,TSAR2025,rule_based,"Wasfia Nazreen first came across a hula hoop as a young girl, when she saw a foreign child who was visiting her native Bangladesh playing with one. Wasfia reluctantly stood by and watched, as in her c","Wasfia Nazreen first came across a hula hoop as a young girl, when she saw a foreign child who was visiting her native Bangladesh playing with one. Wasfia reluctantly stood by and watched, as in her c"
INV_LEX_TSAR_14-b1,claude-haiku,False,high,['CONTENT'],"The transformed text is incomplete, ending with 'g' instead of completing 'girls', making it semantically incomplete and non-equivalent.",lexical,1,TSAR2025,rule_based,"Wasfia Nazreen first came across a hula hoop as a young girl, when she saw a foreign child who was visiting her native Bangladesh playing with one. Wasfia reluctantly stood by and watched, as in her c","Wasfia Nazreen first came across a hula hoop as a young girl, when she saw a foreign child who was visiting her native Bangladesh playing with one. Wasfia reluctantly stood by and watched, as in her c"
INV_LEX_TSAR_15-a2,claude-haiku,False,high,['CONTENT'],"The transformed text is incomplete (ends mid-word at 'regio' instead of 'area') and substitutes 'supply' for 'provide', losing the original semantic meaning and completeness.",lexical,1,TSAR2025,rule_based,"On the basis of these findings, we recommend that Girox Foods adopt a more people-oriented management style. As part of this, we should explore ways of offering more flexible working hours to our empl","On the basis of these findings, we recommend that Girox Foods adopt a more people-oriented management style. As part of this, we should explore ways of offering more flexible working hours to our empl"
INV_LEX_TSAR_15-b1,claude-haiku,False,high,"['MODALS', 'CONTENT']","The modal 'need' was changed to 'demand' (altering obligation strength), and the final word 'area' was truncated to 'ar' (incomplete content).",lexical,1,TSAR2025,rule_based,"On the basis of these findings, we recommend that Girox Foods adopt a more people-oriented management style. As part of this, we should explore ways of offering more flexible working hours to our empl","On the basis of these findings, we recommend that Girox Foods adopt a more people-oriented management style. As part of this, we should explore ways of offering more flexible working hours to our empl"
INV_LEX_TSAR_16-a2,claude-haiku,True,high,[],The substitution of 'considerable families' for 'large families' preserves semantic meaning as both terms convey families of significant size in this context.,lexical,1,TSAR2025,rule_based,"In the last two centuries, improvements in technology and health meant fewer children died young, fuelling rapid population growth. These large families produced even more children who survived into a","In the last two centuries, improvements in technology and health meant fewer children died young, fuelling rapid population growth. These considerable families produced even more children who survived"
INV_LEX_TSAR_16-b1,claude-haiku,True,high,[],'Large families' and 'considerable families' are semantically equivalent synonymous descriptions of family size in this context.,lexical,1,TSAR2025,rule_based,"In the last two centuries, improvements in technology and health meant fewer children died young, fuelling rapid population growth. These large families produced even more children who survived into a","In the last two centuries, improvements in technology and health meant fewer children died young, fuelling rapid population growth. These considerable families produced even more children who survived"
INV_LEX_TSAR_17-a2,claude-haiku,True,high,[],"The only change is 'help us avoid' to 'support us avoid' which are semantically equivalent expressions of the same meaning; all other content, modals, negations, and conditions remain identical.",lexical,1,TSAR2025,rule_based,"Having an increased awareness of the possible differences in expectations and behaviour can help us avoid cases of miscommunication, but it is vital that we also remember that cultural stereotypes can","Having an increased awareness of the possible differences in expectations and behaviour can support us avoid cases of miscommunication, but it is vital that we also remember that cultural stereotypes "
INV_LEX_TSAR_17-b1,claude-haiku,False,high,['CONTENT'],"The transformed text is incomplete, truncating 'exp' (likely 'experience') to 'e', losing semantic content from the original.",lexical,1,TSAR2025,rule_based,"Having an increased awareness of the possible differences in expectations and behaviour can help us avoid cases of miscommunication, but it is vital that we also remember that cultural stereotypes can","Having an increased awareness of the possible differences in expectations and behaviour can assist us avoid cases of miscommunication, but it is vital that we also remember that cultural stereotypes c"
INV_LEX_TSAR_19-a2,claude-haiku,True,high,[],"Both texts contain identical factual content, agents, actions, and conditions; the only difference is 'found' changed to 'discovered' (synonymous) and both end incomplete at the same point.",lexical,1,TSAR2025,rule_based,More questions lie in looking at the influence of genetics on brain and language development. Are there genes that mutated and gave us language ability? Researchers have found a gene mutation that occ,More questions lie in looking at the influence of genetics on brain and language development. Are there genes that mutated and gave us language ability? Researchers have discovered a gene mutation tha
INV_LEX_TSAR_19-b1,claude-haiku,True,high,[],"The only substantive change is 'found' to 'identified' which are semantic synonyms in this context, and the text appears truncated identically in both versions, preserving all agents, actions, facts, and conditions up to the cut-off point.",lexical,1,TSAR2025,rule_based,More questions lie in looking at the influence of genetics on brain and language development. Are there genes that mutated and gave us language ability? Researchers have found a gene mutation that occ,More questions lie in looking at the influence of genetics on brain and language development. Are there genes that mutated and gave us language ability? Researchers have identified a gene mutation tha
INV_LEX_ASSET_test_0003,claude-haiku,False,high,['ACTIONS'],"The transformation changes 'work' (a noun referring to a literary/creative product) to 'operate' (a verb), fundamentally altering the meaning and grammatical structure of the sentence.",lexical,1,ASSET,rule_based,"His next work, Saturday, follows an especially eventful day in the life of a successful neurosurgeon.","His next operate, Saturday, follows an especially eventful day in the life of a successful neurosurgeon."
INV_LEX_ASSET_test_0004,claude-haiku,True,high,[],"Both texts describe identical actions with the same agents, objects, direction, and manner; 'fast' and 'swift' are semantic synonyms conveying the same speed.",lexical,1,ASSET,rule_based,"The tarantula, the trickster character, spun a black cord and, attaching it to the ball, crawled away fast to the east, pulling on the cord with all his strength.","The tarantula, the trickster character, spun a black cord and, attaching it to the ball, crawled away swift to the east, pulling on the cord with all his strength."
INV_LEX_ASSET_test_0026,claude-haiku,True,high,[],"Both texts convey identical meaning: the same event (first Italian Grand Prix), same date (4 September 1921), same location (Brescia), with 'took place' and 'took spot' functioning as equivalent colloquial expressions for event occurrence.",lexical,1,ASSET,rule_based,The first Italian Grand Prix motor racing championship took place on 4 September 1921 at Brescia.,The first Italian Grand Prix motor racing championship took spot on 4 September 1921 at Brescia.
INV_LEX_ASSET_test_0031,claude-haiku,False,high,['CONTENT'],"""Small pieces"" and ""Minor pieces"" have different semantic meanings - small refers to size while minor implies lesser importance or significance.",lexical,1,ASSET,rule_based,"In architectural decoration Small pieces of colored and iridescent shell have been used to create mosaics and inlays, which have been used to decorate walls, furniture and boxes.","In architectural decoration Minor pieces of colored and iridescent shell have been used to develop mosaics and inlays, which have been used to decorate walls, furniture and boxes."
INV_LEX_ASSET_test_0032,claude-haiku,True,high,[],Both sentences identify the same three incorporated cities on the Palos Verdes Peninsula with identical content; 'include' and 'encompass' are semantic equivalents in this context.,lexical,1,ASSET,rule_based,"The other incorporated cities on the Palos Verdes Peninsula include Rancho Palos Verdes, Rolling Hills Estates and Rolling Hills.","The other incorporated cities on the Palos Verdes Peninsula encompass Rancho Palos Verdes, Rolling Hills Estates and Rolling Hills."
INV_LEX_ASSET_test_0033,claude-haiku,True,high,[],"Both texts preserve all agents (Clank, Ratchet, Drek, Captain Qwark), actions (fearing, asking, destroying, stopping), conditions (Drek destroying galaxy), and objectives; 'help him find' and 'assist him locate' are semantically equivalent synonymous expressions.",lexical,1,ASSET,rule_based,"Fearing that Drek will destroy the galaxy, Clank asks Ratchet to help him find the famous superhero Captain Qwark, in an effort to stop Drek.","Fearing that Drek will destroy the galaxy, Clank asks Ratchet to assist him locate the famous superhero Captain Qwark, in an effort to stop Drek."
INV_LEX_ASSET_test_0036,claude-haiku,False,high,['CONTENT'],"The word 'alter' is not semantically equivalent to 'change' in this context; 'climate change' is a specific established term with distinct meaning, whereas 'climate alter' is not standard usage.",lexical,1,ASSET,rule_based,Working Group I: Assesses scientific aspects of the climate system and climate change.,Working Group I: Assesses scientific aspects of the climate system and climate alter.
INV_LEX_ASSET_test_0040,claude-haiku,True,high,[],"Both 'increase' and 'grow' are semantically equivalent verbs describing quantitative expansion, preserving all agents, actions, modals, negation, conditions, and factual content.",lexical,1,ASSET,rule_based,"By early on September 30, wind shear began to dramatically increase and a weakening trend began.","By early on September 30, wind shear began to dramatically grow and a weakening trend began."
INV_LEX_ASSET_test_0042,claude-haiku,False,high,['CONTENT'],'As a result' and 'As a effect' are not semantically equivalent; the latter is grammatically incorrect and lacks the proper article 'an'.,lexical,1,ASSET,rule_based,"As a result, although many mosques will not enforce violations, both men and women when attending a mosque must adhere to these guidelines.","As a effect, although many mosques will not enforce violations, both men and women when attending a mosque must adhere to these guidelines."
INV_LEX_ASSET_test_0049,claude-haiku,False,high,['CONTENT'],"The term 'small intestine' is replaced with 'minor intestine,' which is medically inaccurate and changes the anatomical location.",lexical,1,ASSET,rule_based,"Giardia lamblia (synonymous with Lamblia intestinalis and Giardia duodenalis) is a flagellated protozoan parasite that colonises and reproduces in the small intestine, causing giardiasis.","Giardia lamblia (synonymous with Lamblia intestinalis and Giardia duodenalis) is a flagellated protozoan parasite that colonises and reproduces in the minor intestine, causing giardiasis."
INV_LEX_ASSET_test_0051,claude-haiku,True,high,[],"Both sentences identify the same geographic location (east of Vistula mouth) with identical temporal and naming qualifiers; 'area' and 'territory' are synonymous in this context, as are 'called' and 'named'.",lexical,2,ASSET,rule_based,"This was the area east of the mouth of the Vistula River, later sometimes called ""Prussia proper"".","This was the territory east of the mouth of the Vistula River, later sometimes named ""Prussia proper""."
INV_LEX_ASSET_test_0054,claude-haiku,True,high,[],"Both sentences convey identical meaning; 'find himself' and 'discover himself' are semantically equivalent expressions indicating Weelkes encountered trouble, with all other agents, actions, and content preserved.",lexical,1,ASSET,rule_based,Weelkes was later to find himself in trouble with the Chichester Cathedral authorities for his heavy drinking and immoderate behaviour.,Weelkes was later to discover himself in trouble with the Chichester Cathedral authorities for his heavy drinking and immoderate behaviour.
INV_LEX_ASSET_test_0057,claude-haiku,False,high,['CONTENT'],"The word 'indicate' is not semantically equivalent to 'show' in this context; 'show' refers to a broadcast program while 'indicate' means to point out or suggest, fundamentally changing the meaning.",lexical,1,ASSET,rule_based,"Gomaespuma was a Spanish radio show, hosted by Juan Luis Cano and Guillermo Fesser.","Gomaespuma was a Spanish radio indicate, hosted by Juan Luis Cano and Guillermo Fesser."
INV_LEX_ASSET_test_0065,claude-haiku,True,high,[],"The substitution of 'strong' with 'robust' is semantically equivalent in describing the intensity of magical abilities, and all other agents, actions, and content remain identical.",lexical,1,ASSET,rule_based,"Seventh sons have strong ""knacks"" (specific magical abilities), and seventh sons of seventh sons are both extraordinarily rare and powerful.","Seventh sons have robust ""knacks"" (specific magical abilities), and seventh sons of seventh sons are both extraordinarily rare and powerful."
INV_LEX_ASSET_test_0067,claude-haiku,False,high,['CONTENT'],The phrase 'features in widespread with pain' is grammatically incorrect and changes meaning; the original 'features in common with pain' correctly conveys shared characteristics.,lexical,1,ASSET,rule_based,"Historically, the sensations of itch and pain have not been considered to be independent of each other until recently, where it was found that itch has several features in common with pain, but exhibi","Historically, the sensations of itch and pain have not been considered to be independent of each other until recently, where it was discovered that itch has several features in widespread with pain, b"
INV_LEX_ASSET_test_0073,claude-haiku,True,high,[],"Both texts preserve all semantic elements: identical condition, agents (buildings), actions (built/constructed are synonymous, converting), modals (may), negation (no), and consequences about bypass congestion.",lexical,1,ASSET,rule_based,"If there are no strong land use controls, buildings are built along a bypass, converting it into an ordinary town road, and the bypass may eventually become as congested as the local streets it was in","If there are no powerful land use controls, buildings are constructed along a bypass, converting it into an ordinary town road, and the bypass may eventually become as congested as the local streets i"
INV_LEX_ASSET_test_0074,claude-haiku,True,high,[],Substituting 'people' with 'citizens' preserves the core meaning; both refer to human agents wanting to explore the same three geographic locations.,lexical,2,ASSET,rule_based,"It is also a starting point for people wanting to explore Cooktown, Cape York Peninsula, and the Atherton Tableland.","It is also a starting point for citizens wanting to explore Cooktown, Cape York Peninsula, and the Atherton Tableland."
INV_LEX_ASSET_test_0078,claude-haiku,False,high,['CONTENT'],'commissioned work' and 'commissioned function' have different meanings; 'work' refers to artistic pieces while 'function' refers to a purpose or role.,lexical,2,ASSET,rule_based,"These works he produced and published himself, whilst his much larger woodcuts were mostly commissioned work.","These works he produced and published himself, whilst his much larger woodcuts were mostly commissioned function."
INV_LEX_ASSET_test_0088,claude-haiku,True,high,[],"Fast food and quick food are synonymous terms referring to the same type of restaurant service, so all content and meaning are preserved.",lexical,1,ASSET,rule_based,"Brunstad has several fast food restaurants, a cafeteria-style restaurant, coffee bar, and its own grocery store.","Brunstad has several quick food restaurants, a cafeteria-style restaurant, coffee bar, and its own grocery store."
INV_LEX_ASSET_test_0108,claude-haiku,True,high,[],"Both sentences convey the same meaning: Eschelbronn has had a notable reputation for furniture manufacturing since the late 1800s, with 'well known' and 'well recognized' being semantically equivalent expressions of established fame/reputation.",lexical,1,ASSET,rule_based,Since the end of the 19th century Eschelbronn is well known for its furniture manufacturing industry.,Since the end of the 19th century Eschelbronn is well recognized for its furniture manufacturing industry.
INV_LEX_ASSET_test_0117,claude-haiku,True,high,[],"Both texts convey the same meaning: the male den master occasionally permits a second male to enter the den, with unknown motivation; 'allow' and 'authorize' are semantic equivalents in this context.",lexical,1,ASSET,rule_based,"On occasion the male ""den master"" will also allow a second male into the den; the reason for this is unclear.","On occasion the male ""den master"" will also authorize a second male into the den; the reason for this is unclear."
INV_LEX_ASSET_test_0122,claude-haiku,True,high,[],"Both sentences are identical except for 'receive' vs 'get', which are synonymous verbs with the same meaning in this context.",lexical,1,ASSET,rule_based,Chauvin was embarrassed to receive his award and initially indicated that he may not accept it.,Chauvin was embarrassed to get his award and initially indicated that he may not accept it.
INV_LEX_ASSET_test_0128,claude-haiku,False,high,['ACTIONS'],"The phrase 'will take place' is semantically equivalent to 'will take spot,' but 'take spot' is grammatically incorrect and non-standard English, altering the linguistic validity despite near-identical meaning.",lexical,1,ASSET,rule_based,"SummerSlam (2009) is an upcoming professional wrestling pay-per-view event produced by World Wrestling Entertainment (WWE), which will take place on August 23, 2009 at Staples Center in Los Angeles, C","SummerSlam (2009) is an upcoming professional wrestling pay-per-view event produced by World Wrestling Entertainment (WWE), which will take spot on August 23, 2009 at Staples Center in Los Angeles, Ca"
INV_LEX_ASSET_test_0134,claude-haiku,True,high,[],"The only change is 'found' replaced with 'located,' which are synonymous verbs with identical meaning in this context; all other content, agents, actions, and facts remain unchanged.",lexical,1,ASSET,rule_based,"The largest populations of Mennonites are in Canada, Democratic Republic of Congo and the United States, but Mennonites can also be found in tight-knit communities in at least 51 countries on six cont","The largest populations of Mennonites are in Canada, Democratic Republic of Congo and the United States, but Mennonites can also be located in tight-knit communities in at least 51 countries on six co"
INV_LEX_ASSET_test_0135,claude-haiku,True,high,[],"Substituting 'people' with 'persons' preserves identical semantic meaning; both refer to the same human referents with no change to content, actions, or logical structure.",lexical,1,ASSET,rule_based,"Naas is a major ""Dublin Suburb"" town, with many people living in Naas and working in Dublin.","Naas is a major ""Dublin Suburb"" town, with many persons living in Naas and working in Dublin."
INV_LEX_ASSET_test_0136,claude-haiku,True,high,[],"The substitution of 'area' with 'region' is synonymous and preserves all semantic content, agents, actions, and descriptive details about Acanthopholis's armor.",lexical,1,ASSET,rule_based,"Acanthopholis's armour consisted of oval plates set almost horizontally into the skin, with spikes protruding from the neck and shoulder area, along the spine.","Acanthopholis's armour consisted of oval plates set almost horizontally into the skin, with spikes protruding from the neck and shoulder region, along the spine."
INV_LEX_ASSET_test_0138,claude-haiku,True,high,[],"The verbs 'start' and 'begin' are synonymous in this context with no difference in meaning, modality, negation, or content.",lexical,1,ASSET,rule_based,"Conversely, bills proposed by the Law Commission, and consolidation bills, start in the House of Lords.","Conversely, bills proposed by the Law Commission, and consolidation bills, begin in the House of Lords."
INV_LEX_ASSET_test_0141,claude-haiku,True,high,[],Both sentences convey identical meaning with 'found in' and 'located in' being interchangeable synonyms describing the position of bone marrow.,lexical,1,ASSET,rule_based,Bone marrow is the flexible tissue found in the hollow interior of bones.,Bone marrow is the flexible tissue located in the hollow interior of bones.
INV_LEX_ASSET_test_0143,claude-haiku,True,high,[],Both texts describe Monteux identically; 'area' and 'territory' are interchangeable in this geographic context.,lexical,1,ASSET,rule_based,"Monteux is a commune of the Vaucluse département in southern France, in the area Provence-Alpes-Côte d'Azur.","Monteux is a commune of the Vaucluse département in southern France, in the territory Provence-Alpes-Côte d'Azur."
INV_LEX_ASSET_test_0144,claude-haiku,True,high,[],"The only change is 'make' to 'build' which are synonymous verbs in this context, preserving all agents, actions, modals, negation, conditions, and content.",lexical,1,ASSET,rule_based,"MacGruber starts asking for simple objects to make something to defuse the bomb, but he is later distracted by something (usually involving his personal life) that makes him run out of time.","MacGruber starts asking for simple objects to build something to defuse the bomb, but he is later distracted by something (usually involving his personal life) that makes him run out of time."
INV_LEX_ASSET_test_0147,claude-haiku,False,high,['ACTIONS'],"""called for"" (advocated/demanded) has a different meaning and force than ""named for"" (designated/identified for), changing the PAD's intentional action from making a demand to merely identifying or designating.",lexical,1,ASSET,rule_based,"The PAD called for the resignation of the governments of Thaksin Shinawatra, Samak Sundaravej and Somchai Wongsawat, whom the PAD accused of being proxies for Thaksin.","The PAD named for the resignation of the governments of Thaksin Shinawatra, Samak Sundaravej and Somchai Wongsawat, whom the PAD accused of being proxies for Thaksin."
INV_LEX_ASSET_test_0156,claude-haiku,True,high,[],"'The place' and 'The spot' are semantically interchangeable synonyms in this context, with no change to agents, actions, modals, negation, conditions, or factual content.",lexical,1,ASSET,rule_based,"Eugowra is said to be named after the Indigenous Australian word meaning ""The place where the sand washes down the hill"".","Eugowra is said to be named after the Indigenous Australian word meaning ""The spot where the sand washes down the hill""."
INV_LEX_ASSET_test_0161,claude-haiku,True,high,[],"Both sentences convey the same information: that Gumbasia was created using a style taught by Vorkapich called/named Kinesthetic Film Principles, with 'called' and 'named' being synonymous in this context.",lexical,1,ASSET,rule_based,Gumbasia was created in a style Vorkapich taught called Kinesthetic Film Principles.,Gumbasia was created in a style Vorkapich taught named Kinesthetic Film Principles.
