probe_id,model,probe_family,probe_subtype,tier,dataset,generator_model,base_item_id,scoring_method,rule_score,judge_verified,final_score,similarity,read_delta,overlap,detail_found,base_readability,probe_readability,rule_reason,critical_detail,detail_exact_match,detail_word_overlap,judge_1_name,judge_1_equiv,judge_1_confidence,judge_2_name,judge_2_equiv,judge_2_confidence,base_output_preview,probe_output_preview
INV_LEX_TSAR_08-a2,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_08-a2,rule_then_judge,1,False,0,0.9512,0.0,,,9.5,9.5,"sim=PASS(0.951),read_delta=PASS(0.0)",,,,claude-haiku,False,high,mistral-large-3,True,high,"Dreams of a phone call from an old friend or the death of someone close, for example, are more likely to be the result of coincidence than prophecy. And, of course, we probably choose to forget all th","Dreams of a phone call from an old friend or the death of someone close, for example, are more likely to be the outcome of coincidence than prophecy. And, of course, we probably choose to forget all t"
INV_LEX_TSAR_08-b1,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_08-b1,rule_then_judge,1,True,1,0.9512,0.25,,,9.5,9.75,"sim=PASS(0.951),read_delta=PASS(0.2)",,,,claude-haiku,True,high,mistral-large-3,True,high,"Dreams of a phone call from an old friend or the death of someone close, for example, are more likely to be the result of coincidence than prophecy. And, of course, we probably choose to forget all th","Dreams of a phone call from an old friend or the death of someone close, for example, are more likely to be the outcome of coincidence than prophecy. And, of course, we probably choose to forget all t"
INV_LEX_TSAR_09-a2,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_09-a2,rule_then_judge,1,True,1,0.9767,0.0,,,11.29,11.29,"sim=PASS(0.977),read_delta=PASS(0.0)",,,,claude-haiku,True,high,mistral-large-3,True,high,"Some bridge collapses are mysteries, and engineers only realise why after they conduct a complete investigation. In some cases, this could happen because inferior-quality material was used in the cons","Some bridge collapses are mysteries, and engineers only realise why after they conduct a complete investigation. In some cases, this could arise because inferior-quality material was used in the const"
INV_LEX_TSAR_09-b1,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_09-b1,rule_then_judge,1,True,1,0.9767,0.2,,,11.29,11.48,"sim=PASS(0.977),read_delta=PASS(0.2)",,,,claude-haiku,True,high,mistral-large-3,True,high,"Some bridge collapses are mysteries, and engineers only realise why after they conduct a complete investigation. In some cases, this could happen because inferior-quality material was used in the cons","Some bridge collapses are mysteries, and engineers only realise why after they conduct a complete investigation. In some cases, this could transpire because inferior-quality material was used in the c"
INV_LEX_TSAR_10-a2,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_10-a2,rule_then_judge,1,False,0,0.9793,0.12,,,7.87,7.98,"sim=PASS(0.979),read_delta=PASS(0.1)",,,,claude-haiku,False,high,mistral-large-3,False,high,"I used to do a typical five-day week, but after I came out of my parental leave, I decided that I wanted to spend more time with my children before they start school. After negotiating with my boss, w","I used to do a typical five-day week, but after I came out of my parental leave, I decided that I wanted to spend more time with my children before they launch school. After negotiating with my boss, "
INV_LEX_TSAR_10-b1,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_10-b1,rule_then_judge,1,False,0,0.9793,0.36,,,7.87,8.22,"sim=PASS(0.979),read_delta=PASS(0.4)",,,,claude-haiku,False,high,mistral-large-3,False,high,"I used to do a typical five-day week, but after I came out of my parental leave, I decided that I wanted to spend more time with my children before they start school. After negotiating with my boss, w","I used to do a typical five-day week, but after I came out of my parental leave, I decided that I wanted to spend more time with my children before they begin school. After negotiating with my boss, w"
INV_LEX_TSAR_11-a2,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_11-a2,rule_then_judge,1,False,0,0.9718,0.12,,,18.06,18.18,"sim=PASS(0.972),read_delta=PASS(0.1)",,,,claude-haiku,False,high,mistral-large-3,False,high,"Much of today's business is conducted across international borders, and while the majority of the global business community might share the use of English as a common language, the nuances and expecta","Much of today's business is conducted across international borders, and while the majority of the global business community might share the use of English as a common language, the nuances and expecta"
INV_LEX_TSAR_11-b1,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_11-b1,rule_then_judge,1,False,0,0.9718,0.12,,,18.06,18.18,"sim=PASS(0.972),read_delta=PASS(0.1)",,,,claude-haiku,False,high,mistral-large-3,False,high,"Much of today's business is conducted across international borders, and while the majority of the global business community might share the use of English as a common language, the nuances and expecta","Much of today's business is conducted across international borders, and while the majority of the global business community might share the use of English as a widespread language, the nuances and exp"
INV_LEX_TSAR_12-a2,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_12-a2,rule_then_judge,1,False,0,0.98,0.0,,,8.72,8.72,"sim=PASS(0.980),read_delta=PASS(0.0)",,,,claude-haiku,False,high,mistral-large-3,False,high,"Between 100,000 and 50,000 years ago, we start to see the evidence of early human civilisation, through cave paintings for example; no one knows the connection between this and language. Brains didn't","Between 100,000 and 50,000 years ago, we launch to see the evidence of early human civilisation, through cave paintings for example; no one knows the connection between this and language. Brains didn'"
INV_LEX_TSAR_12-b1,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_12-b1,rule_then_judge,1,False,0,0.9703,0.37,,,8.72,9.1,"sim=PASS(0.970),read_delta=PASS(0.4)",,,,claude-haiku,True,high,mistral-large-3,False,high,"Between 100,000 and 50,000 years ago, we start to see the evidence of early human civilisation, through cave paintings for example; no one knows the connection between this and language. Brains didn't","Between 100,000 and 50,000 years ago, we begin to see the evidence of early human civilisation, through cave paintings for example; no one knows the connection between this and language. Brains didn't"
INV_LEX_TSAR_14-a2,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_14-a2,rule_then_judge,1,False,0,0.9865,0.12,,,10.8,10.92,"sim=PASS(0.986),read_delta=PASS(0.1)",,,,claude-haiku,False,high,mistral-large-3,False,high,"Wasfia Nazreen first came across a hula hoop as a young girl, when she saw a foreign child who was visiting her native Bangladesh playing with one. Wasfia reluctantly stood by and watched, as in her c","Wasfia Nazreen first came across a hula hoop as a young girl, when she saw a foreign child who was visiting her native Bangladesh playing with one. Wasfia reluctantly stood by and watched, as in her c"
INV_LEX_TSAR_14-b1,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_14-b1,rule_then_judge,1,False,0,0.9865,0.35,,,10.8,11.15,"sim=PASS(0.986),read_delta=PASS(0.4)",,,,claude-haiku,False,high,mistral-large-3,True,high,"Wasfia Nazreen first came across a hula hoop as a young girl, when she saw a foreign child who was visiting her native Bangladesh playing with one. Wasfia reluctantly stood by and watched, as in her c","Wasfia Nazreen first came across a hula hoop as a young girl, when she saw a foreign child who was visiting her native Bangladesh playing with one. Wasfia reluctantly stood by and watched, as in her c"
INV_LEX_TSAR_15-a2,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_15-a2,rule_then_judge,1,False,0,0.9714,0.12,,,15.75,15.64,"sim=PASS(0.971),read_delta=PASS(0.1)",,,,claude-haiku,False,high,mistral-large-3,False,high,"On the basis of these findings, we recommend that Girox Foods adopt a more people-oriented management style. As part of this, we should explore ways of offering more flexible working hours to our empl","On the basis of these findings, we recommend that Girox Foods adopt a more people-oriented management style. As part of this, we should explore ways of offering more flexible working hours to our empl"
INV_LEX_TSAR_15-b1,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_15-b1,rule_then_judge,1,False,0,0.9714,0.35,,,15.75,16.11,"sim=PASS(0.971),read_delta=PASS(0.4)",,,,claude-haiku,False,high,mistral-large-3,False,high,"On the basis of these findings, we recommend that Girox Foods adopt a more people-oriented management style. As part of this, we should explore ways of offering more flexible working hours to our empl","On the basis of these findings, we recommend that Girox Foods adopt a more people-oriented management style. As part of this, we should explore ways of offering more flexible working hours to our empl"
INV_LEX_TSAR_16-a2,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_16-a2,rule_then_judge,1,True,1,0.9811,0.73,,,12.28,13.01,"sim=PASS(0.981),read_delta=PASS(0.7)",,,,claude-haiku,True,high,mistral-large-3,True,high,"In the last two centuries, improvements in technology and health meant fewer children died young, fuelling rapid population growth. These large families produced even more children who survived into a","In the last two centuries, improvements in technology and health meant fewer children died young, fuelling rapid population growth. These considerable families produced even more children who survived"
INV_LEX_TSAR_16-b1,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_16-b1,rule_then_judge,1,True,1,0.9811,0.73,,,12.28,13.01,"sim=PASS(0.981),read_delta=PASS(0.7)",,,,claude-haiku,True,high,mistral-large-3,True,high,"In the last two centuries, improvements in technology and health meant fewer children died young, fuelling rapid population growth. These large families produced even more children who survived into a","In the last two centuries, improvements in technology and health meant fewer children died young, fuelling rapid population growth. These considerable families produced even more children who survived"
INV_LEX_TSAR_17-a2,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_17-a2,rule_then_judge,1,False,0,0.9844,0.14,,,22.35,22.49,"sim=PASS(0.984),read_delta=PASS(0.1)",,,,claude-haiku,True,high,mistral-large-3,False,high,"Having an increased awareness of the possible differences in expectations and behaviour can help us avoid cases of miscommunication, but it is vital that we also remember that cultural stereotypes can","Having an increased awareness of the possible differences in expectations and behaviour can support us avoid cases of miscommunication, but it is vital that we also remember that cultural stereotypes "
INV_LEX_TSAR_17-b1,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_17-b1,rule_then_judge,1,False,0,0.9844,0.14,,,22.35,22.49,"sim=PASS(0.984),read_delta=PASS(0.1)",,,,claude-haiku,False,high,mistral-large-3,False,high,"Having an increased awareness of the possible differences in expectations and behaviour can help us avoid cases of miscommunication, but it is vital that we also remember that cultural stereotypes can","Having an increased awareness of the possible differences in expectations and behaviour can assist us avoid cases of miscommunication, but it is vital that we also remember that cultural stereotypes c"
INV_LEX_TSAR_19-a2,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_19-a2,rule_then_judge,1,True,1,0.9787,0.42,,,9.6,10.02,"sim=PASS(0.979),read_delta=PASS(0.4)",,,,claude-haiku,True,high,mistral-large-3,True,high,More questions lie in looking at the influence of genetics on brain and language development. Are there genes that mutated and gave us language ability? Researchers have found a gene mutation that occ,More questions lie in looking at the influence of genetics on brain and language development. Are there genes that mutated and gave us language ability? Researchers have discovered a gene mutation tha
INV_LEX_TSAR_19-b1,flan-t5-large,invariance,lexical,1,TSAR2025,rule_based,TSAR_19-b1,rule_then_judge,1,True,1,0.9787,0.63,,,9.6,10.23,"sim=PASS(0.979),read_delta=PASS(0.6)",,,,claude-haiku,True,high,mistral-large-3,True,high,More questions lie in looking at the influence of genetics on brain and language development. Are there genes that mutated and gave us language ability? Researchers have found a gene mutation that occ,More questions lie in looking at the influence of genetics on brain and language development. Are there genes that mutated and gave us language ability? Researchers have identified a gene mutation tha
INV_LEX_ASSET_test_0003,flan-t5-large,invariance,lexical,1,ASSET,rule_based,ASSET_test_0003,rule_then_judge,1,False,0,0.9375,1.48,,,11.3,12.78,"sim=PASS(0.938),read_delta=PASS(1.5)",,,,claude-haiku,False,high,mistral-large-3,False,high,"His next work, Saturday, follows an especially eventful day in the life of a successful neurosurgeon.","His next operate, Saturday, follows an especially eventful day in the life of a successful neurosurgeon."
INV_LEX_ASSET_test_0004,flan-t5-large,invariance,lexical,1,ASSET,rule_based,ASSET_test_0004,rule_then_judge,1,True,1,0.9565,0.0,,,11.59,11.59,"sim=PASS(0.957),read_delta=PASS(0.0)",,,,claude-haiku,True,high,mistral-large-3,True,high,"The tarantula, the trickster character, spun a black cord and, attaching it to the ball, crawled away fast to the east, pulling on the cord with all his strength.","The tarantula, the trickster character, spun a black cord and, attaching it to the ball, crawled away swift to the east, pulling on the cord with all his strength."
INV_LEX_ASSET_test_0026,flan-t5-large,invariance,lexical,1,ASSET,rule_based,ASSET_test_0026,rule_then_judge,1,True,1,1.0,0.0,,,9.82,9.82,"sim=PASS(1.000),read_delta=PASS(0.0)",,,,claude-haiku,True,high,mistral-large-3,True,high,The first Italian Grand Prix motor racing championship took place on 4 September 1921 at Brescia.,The first Italian Grand Prix motor racing championship took place on 4 September 1921 at Brescia.
INV_LEX_ASSET_test_0031,flan-t5-large,invariance,lexical,1,ASSET,rule_based,ASSET_test_0031,rule_then_judge,1,False,0,0.9091,0.84,,,15.98,16.82,"sim=PASS(0.909),read_delta=PASS(0.8)",,,,claude-haiku,False,high,mistral-large-3,True,high,"In architectural decoration Small pieces of colored and iridescent shell have been used to create mosaics and inlays, which have been used to decorate walls, furniture and boxes.","In architectural decoration Minor pieces of colored and iridescent shell have been used to develop mosaics and inlays, which have been used to decorate walls, furniture and boxes."
INV_LEX_ASSET_test_0032,flan-t5-large,invariance,lexical,1,ASSET,rule_based,ASSET_test_0032,rule_then_judge,1,True,1,1.0,0.0,,,14.8,14.8,"sim=PASS(1.000),read_delta=PASS(0.0)",,,,claude-haiku,True,high,mistral-large-3,True,high,"The other incorporated cities on the Palos Verdes Peninsula include Rancho Palos Verdes, Rolling Hills Estates and Rolling Hills.","The other incorporated cities on the Palos Verdes Peninsula include Rancho Palos Verdes, Rolling Hills Estates and Rolling Hills."
INV_LEX_ASSET_test_0033,flan-t5-large,invariance,lexical,1,ASSET,rule_based,ASSET_test_0033,rule_then_judge,1,True,1,0.913,0.94,,,11.15,12.1,"sim=PASS(0.913),read_delta=PASS(0.9)",,,,claude-haiku,True,high,mistral-large-3,True,high,"Fearing that Drek will destroy the galaxy, Clank asks Ratchet to help him find the famous superhero Captain Qwark, in an effort to stop Drek.","Fearing that Drek will destroy the galaxy, Clank asks Ratchet to assist him locate the famous superhero Captain Qwark, in an effort to stop Drek."
INV_LEX_ASSET_test_0036,flan-t5-large,invariance,lexical,1,ASSET,rule_based,ASSET_test_0036,rule_then_judge,1,False,0,0.9167,0.91,,,10.36,11.26,"sim=PASS(0.917),read_delta=PASS(0.9)",,,,claude-haiku,False,high,mistral-large-3,False,high,Working Group I: Assesses scientific aspects of the climate system and climate change.,Working Group I: Assesses scientific aspects of the climate system and climate alter.
INV_LEX_ASSET_test_0040,flan-t5-large,invariance,lexical,1,ASSET,rule_based,ASSET_test_0040,rule_then_judge,1,True,1,0.9375,0.74,,,10.56,9.82,"sim=PASS(0.938),read_delta=PASS(0.7)",,,,claude-haiku,True,high,mistral-large-3,True,high,"By early on September 30, wind shear began to dramatically increase and a weakening trend began.","By early on September 30, wind shear began to dramatically grow and a weakening trend began."
INV_LEX_ASSET_test_0042,flan-t5-large,invariance,lexical,1,ASSET,rule_based,ASSET_test_0042,rule_then_judge,1,False,0,1.0,0.0,,,11.34,11.34,"sim=PASS(1.000),read_delta=PASS(0.0)",,,,claude-haiku,False,high,mistral-large-3,False,high,"As a result, although many mosques will not enforce violations, both men and women when attending a mosque must adhere to these guidelines.","As a result, although many mosques will not enforce violations, both men and women when attending a mosque must adhere to these guidelines."
INV_LEX_ASSET_test_0049,flan-t5-large,invariance,lexical,1,ASSET,rule_based,ASSET_test_0049,rule_then_judge,1,False,0,0.9412,0.69,,,18.8,19.5,"sim=PASS(0.941),read_delta=PASS(0.7)",,,,claude-haiku,False,high,mistral-large-3,False,high,"Giardia lamblia is a flagellated protozoan parasite that colonises and reproduces in the small intestine, causing giardiasis.","Giardia lamblia is a flagellated protozoan parasite that colonises and reproduces in the minor intestine, causing giardiasis."
INV_LEX_ASSET_test_0051,flan-t5-large,invariance,lexical,2,ASSET,rule_based,ASSET_test_0051,rule_then_judge,0,True,1,0.7143,0.69,,,9.09,9.78,"sim=FAIL(0.714),read_delta=PASS(0.7)",,,,claude-haiku,True,high,mistral-large-3,True,high,"This was the area east of the mouth of the Vistula River, later sometimes called Prussia proper.","This was the territory east of the mouth of the Vistula River, later sometimes named ""Prussia proper""."
INV_LEX_ASSET_test_0054,flan-t5-large,invariance,lexical,1,ASSET,rule_based,ASSET_test_0054,rule_then_judge,1,True,1,0.95,1.18,,,14.04,15.22,"sim=PASS(0.950),read_delta=PASS(1.2)",,,,claude-haiku,True,high,mistral-large-3,True,high,Weelkes was later to find himself in trouble with the Chichester Cathedral authorities for his heavy drinking and immoderate behaviour.,Weelkes was later to discover himself in trouble with the Chichester Cathedral authorities for his heavy drinking and immoderate behaviour.
INV_LEX_ASSET_test_0057,flan-t5-large,invariance,lexical,1,ASSET,rule_based,ASSET_test_0057,rule_then_judge,1,False,0,0.9286,1.69,,,10.94,12.63,"sim=PASS(0.929),read_delta=PASS(1.7)",,,,claude-haiku,False,high,mistral-large-3,False,high,"Gomaespuma was a Spanish radio show, hosted by Juan Luis Cano and Guillermo Fesser.","Gomaespuma was a Spanish radio indicate, hosted by Juan Luis Cano and Guillermo Fesser."
INV_LEX_ASSET_test_0065,flan-t5-large,invariance,lexical,1,ASSET,rule_based,ASSET_test_0065,rule_then_judge,1,True,1,0.9333,0.59,,,14.04,14.63,"sim=PASS(0.933),read_delta=PASS(0.6)",,,,claude-haiku,True,high,mistral-large-3,True,high,"Seventh sons have strong ""knacks"" (specific magical abilities), and seventh sons of seventh sons are both extraordinarily rare and powerful.","Seventh sons have robust ""knacks"" (specific magical abilities), and seventh sons of seventh sons are both extraordinarily rare and powerful."
INV_LEX_ASSET_test_0067,flan-t5-large,invariance,lexical,1,ASSET,rule_based,ASSET_test_0067,rule_then_judge,1,False,0,0.9412,0.66,,,18.44,19.1,"sim=PASS(0.941),read_delta=PASS(0.7)",,,,claude-haiku,False,high,mistral-large-3,True,high,"Historically, the sensations of itch and pain have not been considered to be independent of each other until recently, where it was found that itch has several features in common with pain, but exhibi","Historically, the sensations of itch and pain have not been considered to be independent of each other until recently, where it was discovered that itch has several features in widespread with pain, b"
INV_LEX_ASSET_test_0073,flan-t5-large,invariance,lexical,1,ASSET,rule_based,ASSET_test_0073,rule_then_judge,1,True,1,0.9412,1.24,,,17.86,19.1,"sim=PASS(0.941),read_delta=PASS(1.2)",,,,claude-haiku,True,high,mistral-large-3,True,high,"If there are no strong land use controls, buildings are built along a bypass, converting it into an ordinary town road, and the bypass may eventually become as congested as the local streets it was in","If there are no powerful land use controls, buildings are constructed along a bypass, converting it into an ordinary town road, and the bypass may eventually become as congested as the local streets i"
INV_LEX_ASSET_test_0074,flan-t5-large,invariance,lexical,2,ASSET,rule_based,ASSET_test_0074,rule_then_judge,1,True,1,0.9474,0.62,,,11.07,11.69,"sim=PASS(0.947),read_delta=PASS(0.6)",,,,claude-haiku,True,high,mistral-large-3,True,high,"It is also a starting point for people wanting to explore Cooktown, Cape York Peninsula, and the Atherton Tableland.","It is also a starting point for citizens wanting to explore Cooktown, Cape York Peninsula, and the Atherton Tableland."
INV_LEX_ASSET_test_0078,flan-t5-large,invariance,lexical,2,ASSET,rule_based,ASSET_test_0078,rule_then_judge,1,False,0,0.9375,0.74,,,8.35,9.09,"sim=PASS(0.938),read_delta=PASS(0.7)",,,,claude-haiku,False,high,mistral-large-3,False,high,"These works he produced and published himself, whilst his much larger woodcuts were mostly commissioned work.","These works he produced and published himself, whilst his much larger woodcuts were mostly commissioned function."
INV_LEX_ASSET_test_0088,flan-t5-large,invariance,lexical,1,ASSET,rule_based,ASSET_test_0088,rule_then_judge,1,True,1,0.9375,0.0,,,11.3,11.3,"sim=PASS(0.938),read_delta=PASS(0.0)",,,,claude-haiku,True,high,mistral-large-3,True,high,"Brunstad has several fast food restaurants, a cafeteria-style restaurant, coffee bar, and its own grocery store.","Brunstad has several quick food restaurants, a cafeteria-style restaurant, coffee bar, and its own grocery store."
INV_LEX_ASSET_test_0108,flan-t5-large,invariance,lexical,1,ASSET,rule_based,ASSET_test_0108,rule_then_judge,1,True,1,1.0,0.0,,,11.3,11.3,"sim=PASS(1.000),read_delta=PASS(0.0)",,,,claude-haiku,True,high,mistral-large-3,True,high,Since the end of the 19th century Eschelbronn is well known for its furniture manufacturing industry.,Since the end of the 19th century Eschelbronn is well known for its furniture manufacturing industry.
INV_LEX_ASSET_test_0117,flan-t5-large,invariance,lexical,1,ASSET,rule_based,ASSET_test_0117,rule_then_judge,1,True,1,0.9444,0.56,,,9.46,10.02,"sim=PASS(0.944),read_delta=PASS(0.6)",,,,claude-haiku,True,high,mistral-large-3,True,high,"On occasion the male ""den master"" will also allow a second male into the den; the reason for this is unclear.","On occasion the male ""den master"" will also authorize a second male into the den; the reason for this is unclear."
INV_LEX_ASSET_test_0122,flan-t5-large,invariance,lexical,1,ASSET,rule_based,ASSET_test_0122,rule_then_judge,1,True,1,0.9375,0.74,,,11.3,10.56,"sim=PASS(0.938),read_delta=PASS(0.7)",,,,claude-haiku,True,high,mistral-large-3,True,high,Chauvin was embarrassed to receive his award and initially indicated that he may not accept it.,Chauvin was embarrassed to get his award and initially indicated that he may not accept it.
INV_LEX_ASSET_test_0128,flan-t5-large,invariance,lexical,1,ASSET,rule_based,ASSET_test_0128,rule_then_judge,1,False,0,1.0,0.0,,,16.96,16.96,"sim=PASS(1.000),read_delta=PASS(0.0)",,,,claude-haiku,False,high,mistral-large-3,False,high,"SummerSlam (2009) is an upcoming professional wrestling pay-per-view event produced by World Wrestling Entertainment (WWE), which will take place on August 23, 2009 at Staples Center in Los Angeles, C","SummerSlam (2009) is an upcoming professional wrestling pay-per-view event produced by World Wrestling Entertainment (WWE), which will take place on August 23, 2009 at Staples Center in Los Angeles, C"
INV_LEX_ASSET_test_0134,flan-t5-large,invariance,lexical,1,ASSET,rule_based,ASSET_test_0134,rule_then_judge,1,True,1,0.9706,0.58,,,20.83,21.41,"sim=PASS(0.971),read_delta=PASS(0.6)",,,,claude-haiku,True,high,mistral-large-3,True,high,"The largest populations of Mennonites are in Canada, Democratic Republic of Congo and the United States, but Mennonites can also be found in tight-knit communities in at least 51 countries on six cont","The largest populations of Mennonites are in Canada, Democratic Republic of Congo and the United States, but Mennonites can also be located in tight-knit communities in at least 51 countries on six co"
